Addresses/Brussels/Phone,Addresses/Strasbourg/Phone,Country,Constituency,Constituencies/0/end,Facebook/0,Mail/0,Name/family,Name/sur,Photo,Twitter/0,UserID,meta/updated,meta/url
+322 28 45395,+333 88 1 75395,Austria,,9999-12-31T00:00:00,https://www.facebook.com/ulrike.lunacek,ulrike.lunacek@europarl.europa.eu,LUNACEK,Ulrike,http://www.europarl.europa.eu/mepphoto/97017.jpg,https://twitter.com/UlrikeLunacek,97017,2016-08-09T11:04:16,http://www.europarl.europa.eu/meps/en/97017/_history.html
+322 28 45473,+333 88 1 75473,Austria,,9999-12-31T00:00:00,https://www.facebook.com/mepjoe,josef.weidenholzer@europarl.europa.eu,WEIDENHOLZER,Josef,http://www.europarl.europa.eu/mepphoto/111014.jpg,https://twitter.com/Weidenholzer,111014,2016-08-10T02:39:20,http://www.europarl.europa.eu/meps/en/111014/_history.html
+322 28 45627,+333 88 1 75627,Austria,,9999-12-31T00:00:00,https://www.facebook.com/othmar.karas,othmar.karas@europarl.europa.eu,KARAS,Othmar,http://www.europarl.europa.eu/mepphoto/4246.jpg,https://twitter.com/othmar_karas,4246,2016-09-08T01:11:00,http://www.europarl.europa.eu/meps/en/4246/_history.html
+322 28 45324,+333 88 1 75324,Austria,,9999-12-31T00:00:00,,harald.vilimsky@europarl.europa.eu,VILIMSKY,Harald,http://www.europarl.europa.eu/mepphoto/125001.jpg,,125001,2016-08-10T02:37:44,http://www.europarl.europa.eu/meps/en/125001/_history.html
+322 28 45576,+333 88 1 75576,Austria,,9999-12-31T00:00:00,,barbara.kappel@europarl.europa.eu,KAPPEL,Barbara,http://www.europarl.europa.eu/mepphoto/125024.jpg,,125024,2016-09-08T01:10:54,http://www.europarl.europa.eu/meps/en/125024/_history.html
+322 28 45475,+333 88 1 75475,Austria,,9999-12-31T00:00:00,https://www.facebook.com/karin.kadenbach,karin.kadenbach@europarl.europa.eu,KADENBACH,Karin,http://www.europarl.europa.eu/mepphoto/97014.jpg,http://twitter.com/karinkadenbach,97014,2016-09-10T01:15:51,http://www.europarl.europa.eu/meps/en/97014/_history.html
+322 28 45211,+333 88 1 75211,Austria,,9999-12-31T00:00:00,https://www.facebook.com/elisabethkoestinger,elisabeth.koestinger@europarl.europa.eu,KÖSTINGER,Elisabeth,http://www.europarl.europa.eu/mepphoto/96882.jpg,http://twitter.com/ElliKoestinger,96882,2016-09-06T01:13:05,http://www.europarl.europa.eu/meps/en/96882/_history.html
+322 28 45703,+333 88 1 75703,Austria,,9999-12-31T00:00:00,https://www.facebook.com/monika.vana.3,monika.vana@europarl.europa.eu,VANA,Monika,http://www.europarl.europa.eu/mepphoto/124934.jpg,https://twitter.com/MonikaVana,124934,2016-04-28T02:44:07,http://www.europarl.europa.eu/meps/en/124934/_history.html
+322 28 45476,+333 88 1 75476,Austria,,9999-12-31T00:00:00,https://www.facebook.com/evelyn.regner,evelyn.regner@europarl.europa.eu,REGNER,Evelyn,http://www.europarl.europa.eu/mepphoto/96998.jpg,https://twitter.com/Evelyn_Regner,96998,2016-09-09T01:29:23,http://www.europarl.europa.eu/meps/en/96998/_history.html
+322 28 45139,+333 88 1 75139,Austria,,9999-12-31T00:00:00,https://www.facebook.com/Eugen.A.Freund,eugen.freund@europarl.europa.eu,FREUND,Eugen,http://www.europarl.europa.eu/mepphoto/125018.jpg,https://twitter.com/EugenAFreund,125018,2016-09-10T00:58:11,http://www.europarl.europa.eu/meps/en/125018/_history.html
